" ","Estimate","CI (lower)","CI (upper)","Std. Error","t value","Pr(>|t|)","   "
"(Intercept)",0.38153381218835,0.154749902493748,0.608317721882951,0.115579719567013,3.30104462632076,"0.001","***"
"Mkt.RF",0.874738957843627,0.829466172522807,0.920011743164448,0.0230731352962587,37.9115775386393,"<0.001","***"
"SMB",-0.19772570670361,-0.271802346472206,-0.123649066935014,0.0377529308073517,-5.23736045057213,"<0.001","***"
"HML",0.224755939394955,0.158577740128403,0.290934138661507,0.0337275149854254,6.6638748657314,"<0.001","***"
